report_id,topic,consumer,total_mails,average_execution_time_(s),max_execution_time_(s),grand_total_mails,total_errors
1,high-priority-mails,3,14,0.55,0.64,550,0
1,low-priority-mails,0,500,1.44,2.11,550,0
1,high-priority-mails,2,14,0.59,1.56,550,0
1,high-priority-mails,0,10,0.48,0.80,550,0
1,high-priority-mails,1,12,0.58,0.65,550,0
